No.,Time,Status,Duration (Seconds),Country,Region,City / Town / District,Section,Gender,Age (years),Height (Inches),Country of Citizenship,Undergraduate Degree,Expected Graduation date,Laptop type,Commuting time (minutes)  to class,Employement status,programming skill in Python 
39,3/19/20 8:56 PM,Completed,213,United States,Virginia,Fairfax,4,F,24,64,India,Computer Science,Dec-22,1,30,3,3
40,3/19/20 8:57 PM,Completed,211,United States,Virginia,Falls Church,DL,M,22,76,India,Computer Science,Dec-21,1,10,1,4
44,3/19/20 9:01 PM,Completed,850,United States,Virginia,Fairfax,1,F,23,62,India,,Dec-21,1,120,3,3
42,3/19/20 9:08 PM,Completed,117,United States,Virginia,Burke,1,M,24,73,India,Computer Science,May-21,1,20,3,4
43,3/19/20 9:12 PM,Completed,114,United States,Maryland,Waldorf,DL,M,35,70,South Korea,Applied statistics,May-21,1,20,3,2
46,3/19/20 9:38 PM,Completed,235,United States,Virginia,Herndon,DL,M,27,68,India,Computer Science,May-21,1,30,3,2
55,3/20/20 11:57 AM,Completed,141,United States,Virginia,Herndon,1,M,25,73,India,Bachelor's in other courses,Dec-21,1,20,3,3
52,3/20/20 12:01 AM,Completed,274,United States,Virginia,Fairfax,DL,M,23,68,India,Mechanical Engineering,May-21,1,20,2,3
53,3/20/20 12:59 AM,Completed,233,United States,Virginia,Fairfax,DL,M,29,67,Indonesia,Computer Science,May-21,1,30,1,2
56,3/20/20 3:33 PM,Completed,226,United States,Virginia,Woodbridge,DL,F,25,67,USA,Mathematics,Aug-21,1,0,1,4
54,3/20/20 9:36 AM,Completed,507,United States,Maryland,Rockville,4,F,25,64,India,Civil engineering,Jun-22,2,20,2,2
57,3/21/20 1:35 AM,Completed,409,United States,Indiana,Columbus,4,F,22,65,India,Electronics and Communication,May-22,1,40,2,1
58,3/21/20 12:06 PM,Completed,172,United States,Virginia,Fairfax,4,M,23,65,India,Bachelor's in other courses,May-21,1,20,2,5
59,3/21/20 9:19 PM,Completed,205,United States,Virginia,Burke,4,F,24,62,India,Computer Science,Mar-20,1,20,2,4
60,3/22/20 11:55 PM,Completed,113,United States,Virginia,Alexandria,1,M,24,72,India,Computer Science,Dec-21,2,10,3,3
61,3/23/20 7:25 PM,Completed,128,United States,Virginia,Falls Church,DL,M,22,59,India,Electronics and Media,Dec-21,2,30,2,3
62,3/23/20 7:26 PM,Completed,148,United States,Virginia,Falls Church,DL,M,22,71,India,Bachelor's in other courses,Dec-21,1,10,3,3
63,3/25/20 5:47 PM,Completed,182,United States,Virginia,Fairfax,4,M,29,75,Eritrea,Biology,May-22,2,30,1,2
64,3/28/20 8:02 PM,Completed,267,United States,Virginia,Fairfax,DL,M,22,64,Thailand,Industrial Engineering,Dec-21,2,10,3,3
65,4/1/20 7:38 PM,Completed,116,United States,Virginia,Chantilly,4,M,32,71,India,Electrical Engineering,May-21,1,90,3,1
66,4/5/20 8:57 AM,Completed,305,United States,Virginia,Lorton,DL,M,44,77,USA,Political Science,May-22,1,30,1,2
